CustomerID,CustomerName,Age,Gender,CustomerCity,JoinDate,MembershipType
1,Cynthia Stevens,58,Male,Cairo,2026-04-29,Platinum
2,Peter Chan,35,Male,Mansoura,2025-03-21,Silver
3,Matthew Williams,65,Male,Alexandria,2024-01-26,Platinum
4,Nicole Gallagher,45,Male,Cairo,2023-05-28,Silver
5,Catherine Camacho,31,Male,Cairo,2021-07-27,Platinum
6,James Duncan,30,Female,Mansoura,2021-09-22,Gold
7,Danielle Hurst,55,Female,Cairo,2026-03-24,Silver
8,Marc Hancock,62,Female,Zagazig,2021-09-22,Gold
9,Taylor Ramos,27,Male,Zagazig,2023-07-10,Silver
10,Jaime Graham,23,Female,Alexandria,2024-07-23,Gold
11,Troy Diaz,40,Female,Cairo,2022-02-04,Platinum
12,Ashley Sanchez,47,Male,Aswan,2022-08-06,Silver
13,Maria Collins,53,Female,Zagazig,2025-10-15,Platinum
14,Michael Walters,30,Male,Cairo,2022-06-29,Platinum
15,Anthony Cook,32,Female,Alexandria,2023-07-11,Silver
16,Michael Guerrero,24,Female,Tanta,2023-08-28,Gold
17,James Hull,58,Female,Giza,2025-03-10,Gold
18,Danielle Watkins,40,Male,Tanta,2024-02-03,Platinum
19,Marcus Johnson,61,Male,Giza,2024-12-27,Platinum
20,Eric Jacobs,64,Male,Giza,2022-09-17,Gold
21,Lisa Monroe,42,Female,Mansoura,2024-04-23,Platinum
22,Aaron Pierce,38,Male,Mansoura,2021-06-27,Silver
23,Charles Saunders,69,Female,Aswan,2021-12-28,Gold
24,Laura Kelley,22,Male,Zagazig,2022-04-16,Silver
25,Suzanne Allen,59,Female,Aswan,2025-05-07,Platinum
26,Margaret Ross,47,Male,Tanta,2025-04-12,Silver
27,Brittany Wood,33,Female,Aswan,2025-04-10,Platinum
28,Shelly Kelly,43,Female,Mansoura,2024-12-06,Silver
29,Nicole Johnson,50,Female,Alexandria,2023-02-15,Silver
30,Jamie Galvan,25,Male,Giza,2023-07-20,Platinum
31,Jason Valdez,45,Male,Aswan,2026-05-26,Gold
32,David Hudson,56,Female,Tanta,2024-07-19,Platinum
33,Joseph Anderson,18,Male,Tanta,2023-03-22,Platinum
34,Jacqueline Blair,39,Male,Tanta,2025-07-11,Gold
35,Bryan Johnson,28,Female,Cairo,2021-10-13,Platinum
36,Zachary Rodriguez,64,Female,Giza,2025-09-14,Platinum
37,Jeremy Moore,24,Female,Mansoura,2022-04-01,Silver
38,Sarah Lowe,41,Male,Cairo,2025-08-27,Platinum
39,Todd Long,38,Female,Cairo,2024-08-25,Silver
40,Adam Hernandez,41,Female,Mansoura,2023-02-02,Silver
41,Austin Russell,33,Male,Alexandria,2022-12-14,Platinum
42,Dawn Thornton,49,Male,Giza,2025-09-24,Silver
43,Kevin Jenkins,60,Female,Giza,2022-08-21,Gold
